0.00000000e+000	5.53000000e+002	4.07380278e+004
7.00000000e-002	-1	8.51138038e+004
1.00000000e-001	-1	5.62341325e+004
1.40000000e-001	-1	6.30957344e+004
1.80000000e-001	-1	6.16595002e+004
2.70000000e-001	-1	4.46683592e+004
3.50000000e-001	-1	7.07945784e+004
4.30000000e-001	-1	8.12830516e+004
5.20000000e-001	-1	7.76247117e+004
6.00000000e-001	-1	6.45654229e+004
6.80000000e-001	-1	5.88843655e+004
7.60000000e-001	-1	7.41310241e+004
8.50000000e-001	-1	5.75439937e+004
1.01000000e+000	-1	5.37031796e+004
1.19000000e+000	-1	4.26579519e+004
1.35000000e+000	-1	2.29086765e+004
1.51000000e+000	-1	5.37031796e+004
1.68000000e+000	-1	2.57039578e+004
1.93000000e+000	-1	2.45470892e+004
2.18000000e+000	-1	5.01187234e+004
2.43000000e+000	-1	4.78630092e+004
2.68000000e+000	-1	5.24807460e+004
2.93000000e+000	-1	1.58489319e+004
3.00000000e+000	-1	1.31825674e+004
5.67000000e+000	-1	1.00000000e+004
9.67000000e+000	-1	2.81838293e+003
1.36700000e+001	2.91000000e+002	2.18776162e+003
1.96700000e+001	-1	1.44543977e+003
2.66700000e+001	3.23000000e+002	1.99526231e+003
3.36700000e+001	-1	1.12201845e+003
4.06700000e+001	-1	8.12830516e+002
5.46700000e+001	4.02000000e+002	5.01187234e+002
6.86700000e+001	-1	2.04173794e+002
8.26700000e+001	-1	1.81970086e+002
9.56700000e+001	-1	3.80189396e+002
1.10670000e+002	4.48000000e+002	2.81838293e+002
1.38670000e+002	4.12000000e+002	1.12201845e+002
1.66670000e+002	3.71000000e+002	5.01187234e+001
1.94670000e+002	4.25000000e+002	5.01187234e+001
2.22670000e+002	3.57000000e+002	5.01187234e+001
2.49670000e+002	5.66000000e+002	5.01187234e+001
2.77670000e+002	4.90000000e+002	5.01187234e+001
3.05670000e+002	5.45000000e+002	5.01187234e+001
3.33670000e+002	4.30000000e+002	5.01187234e+001
3.95670000e+002	7.12000000e+002	5.01187234e+001
4.52670000e+002	5.77000000e+002	5.01187234e+001
5.14670000e+002	4.41000000e+002	5.01187234e+001
5.35670000e+002	5.27000000e+002	5.01187234e+001

